objectid,event_dow,event_type,apprehension_made,hood_158_loc
4357,Thursday,Suicide-related,No,80
4358,Thursday,Person in Crisis,No,41
4359,Thursday,Suicide-related,No,91
4360,Thursday,Person in Crisis,No,166
4361,Thursday,Person in Crisis,No,80
4362,Thursday,Person in Crisis,No,168
4363,Thursday,Person in Crisis,No,85
4364,Thursday,Suicide-related,No,25
4365,Thursday,Suicide-related,No,78
4366,Thursday,Person in Crisis,No,88
4367,Thursday,Person in Crisis,No,164
4368,Thursday,Suicide-related,Yes,165
4369,Thursday,Suicide-related,Yes,167
4370,Thursday,Person in Crisis,No,85
4371,Thursday,Person in Crisis,No,90
4372,Thursday,Person in Crisis,No,135
4373,Thursday,Person in Crisis,No,54
4374,Thursday,Suicide-related,No,64
4375,Thursday,Overdose,No,167
4376,Thursday,Person in Crisis,Yes,20
4377,Thursday,Person in Crisis,No,162
4378,Thursday,Suicide-related,No,170
4379,Thursday,Overdose,Yes,27
4380,Thursday,Overdose,Yes,152
4381,Thursday,Suicide-related,No,106
4382,Thursday,Person in Crisis,Yes,122
4383,Thursday,Person in Crisis,Yes,73
4384,Thursday,Suicide-related,No,94
4385,Thursday,Person in Crisis,No,90
4386,Thursday,Person in Crisis,No,150
4387,Thursday,Suicide-related,No,170
4388,Thursday,Person in Crisis,Yes,13
4389,Thursday,Suicide-related,No,126
4390,Thursday,Person in Crisis,No,73
4391,Thursday,Person in Crisis,No,85
4392,Thursday,Overdose,No,16
4393,Thursday,Person in Crisis,No,78
4394,Thursday,Person in Crisis,No,70
4395,Thursday,Person in Crisis,No,13
4396,Thursday,Overdose,No,135
4397,Thursday,Person in Crisis,No,124
4398,Thursday,Person in Crisis,No,159
4399,Thursday,Suicide-related,No,87
4400,Thursday,Person in Crisis,No,168
4401,Thursday,Person in Crisis,No,28
4402,Thursday,Suicide-related,No,167
4403,Friday,Person in Crisis,Yes,135
4404,Friday,Person in Crisis,No,94
4405,Friday,Person in Crisis,No,171
4406,Friday,Suicide-related,Yes,166
4407,Friday,Person in Crisis,No,170
4408,Friday,Person in Crisis,No,24
4409,Friday,Person in Crisis,No,146
4410,Friday,Person in Crisis,No,91
4411,Friday,Person in Crisis,No,85
4412,Friday,Suicide-related,No,73
4413,Friday,Person in Crisis,No,158
4414,Friday,Suicide-related,No,124
4415,Friday,Person in Crisis,Yes,99
4416,Friday,Person in Crisis,Yes,162
4417,Friday,Suicide-related,No,141
4418,Friday,Person in Crisis,No,85
4419,Friday,Overdose,Yes,62
4420,Friday,Person in Crisis,No,88
4421,Friday,Suicide-related,Yes,73
4422,Friday,Person in Crisis,No,145
4423,Friday,Person in Crisis,No,166
4424,Friday,Person in Crisis,Yes,72
4425,Friday,Person in Crisis,No,91
4426,Friday,Suicide-related,Yes,39
4427,Friday,Person in Crisis,No,36
4428,Friday,Person in Crisis,No,1
4429,Friday,Suicide-related,No,70
4430,Friday,Person in Crisis,No,25
4431,Friday,Overdose,No,92
4432,Friday,Suicide-related,No,32
4433,Friday,Suicide-related,Yes,73
4434,Friday,Suicide-related,No,71
4435,Friday,Person in Crisis,No,69
4436,Friday,Person in Crisis,No,80
4437,Friday,Person in Crisis,Yes,85
4438,Friday,Overdose,No,83
4439,Friday,Suicide-related,No,115
4440,Friday,Suicide-related,Yes,12
4441,Friday,Suicide-related,No,166
4442,Friday,Suicide-related,No,172
4443,Friday,Person in Crisis,Yes,91
4444,Friday,Person in Crisis,No,79
4445,Friday,Suicide-related,Yes,90
4446,Friday,Suicide-related,Yes,33
4447,Friday,Person in Crisis,No,172
4448,Friday,Suicide-related,No,160
4449,Friday,Person in Crisis,No,107
4450,Friday,Suicide-related,Yes,95
4451,Friday,Person in Crisis,Yes,136
4452,Friday,Person in Crisis,No,162
4453,Friday,Suicide-related,No,167
4454,Friday,Person in Crisis,No,91
4455,Friday,Overdose,Yes,123
4456,Friday,Person in Crisis,No,167
4457,Friday,Person in Crisis,No,94
4458,Friday,Suicide-related,No,163
4459,Friday,Person in Crisis,No,78
4460,Friday,Suicide-related,No,168
4461,Friday,Person in Crisis,No,162
4462,Friday,Suicide-related,No,73
4463,Friday,Person in Crisis,Yes,85
4464,Friday,Person in Crisis,No,85
4465,Friday,Person in Crisis,Yes,34
4466,Friday,Suicide-related,No,21
4467,Friday,Suicide-related,No,138
4468,Friday,Person in Crisis,Yes,84
4469,Friday,Suicide-related,No,100
4470,Saturday,Person in Crisis,No,91
4471,Saturday,Suicide-related,No,142
4472,Saturday,Suicide-related,Yes,153
4473,Saturday,Person in Crisis,No,148
4474,Saturday,Person in Crisis,No,85
4475,Saturday,Person in Crisis,No,54
4476,Saturday,Overdose,No,71
4477,Saturday,Person in Crisis,No,95
4478,Saturday,Person in Crisis,No,89
4479,Saturday,Overdose,Yes,106
4480,Saturday,Suicide-related,Yes,174
4481,Saturday,Suicide-related,Yes,78
4482,Saturday,Suicide-related,No,91
4483,Saturday,Person in Crisis,No,61
4484,Saturday,Suicide-related,No,135
4485,Saturday,Overdose,Yes,43
4486,Saturday,Person in Crisis,No,61
4487,Saturday,Person in Crisis,No,27
4488,Saturday,Person in Crisis,No,55
4490,Saturday,Person in Crisis,No,78
4491,Saturday,Suicide-related,No,68
4492,Saturday,Person in Crisis,No,47
4493,Saturday,Person in Crisis,Yes,107
4494,Saturday,Person in Crisis,No,73
4495,Saturday,Person in Crisis,No,78
4496,Saturday,Suicide-related,Yes,84
4497,Saturday,Person in Crisis,No,68
4498,Saturday,Person in Crisis,Yes,165
4499,Saturday,Suicide-related,Yes,171
4500,Saturday,Suicide-related,No,138
4501,Saturday,Suicide-related,No,141
4502,Saturday,Person in Crisis,No,173
4503,Saturday,Suicide-related,No,143
4504,Saturday,Person in Crisis,Yes,94
4505,Saturday,Suicide-related,Yes,143
4506,Saturday,Suicide-related,Yes,167
4507,Saturday,Person in Crisis,No,110
4508,Saturday,Person in Crisis,No,69
4509,Saturday,Suicide-related,No,36
4510,Saturday,Suicide-related,Yes,18
4511,Saturday,Overdose,No,168
4512,Saturday,Suicide-related,No,159
4513,Saturday,Person in Crisis,No,169
4514,Saturday,Overdose,Yes,71
4515,Saturday,Suicide-related,Yes,121
4516,Saturday,Person in Crisis,No,62
4517,Saturday,Suicide-related,Yes,139
4518,Saturday,Person in Crisis,No,78
4519,Saturday,Person in Crisis,No,170
4520,Saturday,Suicide-related,No,73
4521,Saturday,Person in Crisis,No,157
4522,Sunday,Person in Crisis,No,37
4523,Sunday,Person in Crisis,No,30
4524,Sunday,Person in Crisis,No,163
4525,Sunday,Suicide-related,No,106
4526,Sunday,Person in Crisis,No,54
4527,Sunday,Suicide-related,No,78
4528,Sunday,Overdose,No,61
4529,Sunday,Person in Crisis,No,2
4530,Sunday,Person in Crisis,No,16
4531,Sunday,Suicide-related,Yes,25
4532,Sunday,Overdose,No,97
4533,Sunday,Person in Crisis,No,157
4534,Sunday,Overdose,Yes,122
4535,Sunday,Person in Crisis,No,122
4536,Sunday,Suicide-related,Yes,122
4537,Sunday,Person in Crisis,Yes,168
4538,Sunday,Person in Crisis,No,160
4539,Sunday,Overdose,No,53
4540,Sunday,Person in Crisis,No,84
4541,Sunday,Person in Crisis,No,35
4542,Sunday,Suicide-related,No,78
4543,Sunday,Person in Crisis,No,30
4544,Sunday,Suicide-related,Yes,1
4545,Sunday,Person in Crisis,Yes,122
4546,Sunday,Person in Crisis,No,78
4547,Sunday,Person in Crisis,No,62
4548,Sunday,Person in Crisis,No,110
4549,Sunday,Suicide-related,No,10
4550,Sunday,Suicide-related,No,37
4551,Sunday,Person in Crisis,No,58
4552,Sunday,Suicide-related,No,170
4553,Sunday,Suicide-related,Yes,39
4554,Sunday,Person in Crisis,No,170
4555,Sunday,Person in Crisis,No,166
4556,Sunday,Person in Crisis,No,112
4557,Sunday,Person in Crisis,Yes,53
4558,Sunday,Person in Crisis,No,65
4559,Sunday,Person in Crisis,No,62
4560,Sunday,Person in Crisis,Yes,84
4561,Sunday,Person in Crisis,No,85
4562,Sunday,Person in Crisis,Yes,119
4563,Sunday,Person in Crisis,Yes,2
4564,Sunday,Suicide-related,Yes,158
4565,Sunday,Person in Crisis,No,50
4566,Sunday,Suicide-related,No,80
4567,Sunday,Person in Crisis,No,53
4568,Sunday,Person in Crisis,Yes,136
4569,Sunday,Suicide-related,Yes,33
4570,Sunday,Person in Crisis,No,38
4571,Monday,Suicide-related,Yes,119
4572,Monday,Person in Crisis,No,85
4573,Monday,Overdose,No,168
4574,Monday,Person in Crisis,No,32
4575,Monday,Person in Crisis,No,170
4576,Monday,Overdose,No,95
4577,Monday,Person in Crisis,No,136
4578,Monday,Suicide-related,No,73
4579,Monday,Person in Crisis,No,25
4580,Monday,Suicide-related,No,170
4581,Monday,Overdose,No,141
4582,Monday,Suicide-related,Yes,146
4583,Monday,Suicide-related,No,31
4584,Monday,Suicide-related,No,36
4585,Monday,Overdose,No,36
4586,Monday,Person in Crisis,No,25
4587,Monday,Suicide-related,Yes,109
4588,Monday,Suicide-related,No,111
4589,Monday,Person in Crisis,Yes,171
4590,Monday,Person in Crisis,No,94
4591,Monday,Person in Crisis,No,151
4592,Monday,Person in Crisis,No,123
4593,Monday,Suicide-related,No,27
4594,Monday,Person in Crisis,Yes,112
4595,Monday,Suicide-related,No,170
4596,Monday,Suicide-related,No,115
4597,Monday,Person in Crisis,Yes,159
4598,Monday,Suicide-related,Yes,160
4599,Monday,Suicide-related,Yes,174
4600,Monday,Suicide-related,No,57
4601,Monday,Person in Crisis,No,85
4602,Monday,Overdose,No,150
4603,Monday,Person in Crisis,No,54
4604,Monday,Person in Crisis,No,43
4605,Monday,Person in Crisis,No,71
4606,Monday,Person in Crisis,No,94
4607,Monday,Person in Crisis,No,136
4608,Monday,Suicide-related,Yes,135
4609,Monday,Person in Crisis,Yes,23
4610,Monday,Person in Crisis,No,5
4611,Monday,Person in Crisis,No,85
4612,Monday,Person in Crisis,Yes,129
4613,Monday,Person in Crisis,Yes,95
4614,Monday,Person in Crisis,Yes,39
4615,Monday,Person in Crisis,No,61
4616,Monday,Person in Crisis,No,168
4617,Monday,Suicide-related,Yes,36
4618,Monday,Person in Crisis,Yes,95
4619,Monday,Person in Crisis,No,73
4620,Monday,Person in Crisis,No,70
4621,Monday,Suicide-related,Yes,85
4622,Monday,Suicide-related,No,69
4623,Monday,Person in Crisis,Yes,136
4624,Monday,Suicide-related,No,72
4625,Monday,Suicide-related,No,135
4626,Monday,Suicide-related,No,173
4627,Monday,Person in Crisis,No,165
4628,Tuesday,Person in Crisis,No,168
4629,Tuesday,Suicide-related,No,38
4630,Tuesday,Person in Crisis,Yes,47
4631,Tuesday,Person in Crisis,No,54
4632,Tuesday,Person in Crisis,No,36
4633,Tuesday,Person in Crisis,No,120
4634,Tuesday,Suicide-related,No,100
4635,Tuesday,Overdose,Yes,47
4636,Tuesday,Suicide-related,Yes,85
4637,Tuesday,Suicide-related,No,122
4638,Tuesday,Suicide-related,No,106
4639,Tuesday,Person in Crisis,No,166
4640,Tuesday,Person in Crisis,No,62
4641,Tuesday,Person in Crisis,Yes,125
4642,Tuesday,Person in Crisis,No,119
4643,Tuesday,Person in Crisis,No,67
4644,Tuesday,Person in Crisis,No,37
4645,Tuesday,Overdose,No,168
4646,Tuesday,Person in Crisis,No,95
4647,Tuesday,Person in Crisis,No,73
4648,Tuesday,Person in Crisis,No,143
4649,Tuesday,Overdose,No,168
4650,Tuesday,Person in Crisis,No,70
4651,Tuesday,Person in Crisis,No,88
4652,Tuesday,Person in Crisis,Yes,88
4653,Tuesday,Person in Crisis,No,19
4654,Tuesday,Person in Crisis,No,170
4655,Tuesday,Person in Crisis,No,170
4656,Tuesday,Overdose,Yes,163
4657,Tuesday,Person in Crisis,No,159
4658,Tuesday,Suicide-related,No,130
4659,Tuesday,Person in Crisis,No,170
4660,Tuesday,Person in Crisis,No,142
4661,Tuesday,Person in Crisis,No,110
4662,Tuesday,Person in Crisis,No,168
4663,Tuesday,Person in Crisis,No,108
4664,Tuesday,Person in Crisis,No,63
4665,Tuesday,Suicide-related,No,113
4666,Tuesday,Person in Crisis,No,70
4667,Tuesday,Person in Crisis,No,136
4668,Tuesday,Person in Crisis,No,166
4669,Tuesday,Person in Crisis,No,73
4670,Tuesday,Person in Crisis,No,126
4671,Tuesday,Suicide-related,No,58
4672,Tuesday,Suicide-related,Yes,126
4673,Tuesday,Person in Crisis,No,162
4674,Tuesday,Person in Crisis,Yes,84
4675,Tuesday,Overdose,No,159
4676,Tuesday,Person in Crisis,Yes,31
4677,Tuesday,Overdose,No,107
4678,Tuesday,Person in Crisis,No,138
4679,Tuesday,Suicide-related,Yes,166
4680,Tuesday,Suicide-related,Yes,68
4681,Tuesday,Person in Crisis,No,10
4682,Tuesday,Person in Crisis,No,163
4683,Tuesday,Overdose,Yes,8
4684,Wednesday,Suicide-related,No,7
4686,Wednesday,Suicide-related,No,141
4687,Wednesday,Suicide-related,No,47
4688,Wednesday,Person in Crisis,No,165
4689,Wednesday,Suicide-related,No,141
4691,Wednesday,Suicide-related,No,95
4692,Wednesday,Person in Crisis,No,144
4693,Wednesday,Suicide-related,No,145
4694,Wednesday,Person in Crisis,Yes,78
4695,Wednesday,Suicide-related,Yes,95
4696,Wednesday,Person in Crisis,Yes,154
4697,Wednesday,Person in Crisis,No,115
4698,Wednesday,Suicide-related,No,11
4699,Wednesday,Person in Crisis,No,73
4700,Wednesday,Person in Crisis,No,139
4701,Wednesday,Person in Crisis,No,110
4702,Wednesday,Person in Crisis,No,126
4703,Wednesday,Person in Crisis,No,170
4704,Wednesday,Suicide-related,No,73
4705,Wednesday,Person in Crisis,No,73
4706,Wednesday,Suicide-related,Yes,142
4707,Wednesday,Person in Crisis,Yes,24
4708,Wednesday,Suicide-related,No,138
4709,Wednesday,Person in Crisis,Yes,73
4710,Wednesday,Person in Crisis,No,170
4711,Wednesday,Suicide-related,No,23
4712,Wednesday,Person in Crisis,No,27
4713,Wednesday,Person in Crisis,Yes,73
4714,Wednesday,Person in Crisis,Yes,24
4715,Wednesday,Person in Crisis,Yes,120
4716,Wednesday,Person in Crisis,Yes,138
4717,Wednesday,Suicide-related,No,27
4718,Wednesday,Person in Crisis,No,152
4719,Wednesday,Person in Crisis,Yes,10
4720,Wednesday,Overdose,No,109
4721,Wednesday,Suicide-related,No,166
4722,Wednesday,Suicide-related,No,52
4723,Wednesday,Person in Crisis,Yes,170
4724,Wednesday,Person in Crisis,Yes,151
4725,Wednesday,Person in Crisis,Yes,107
4726,Wednesday,Person in Crisis,No,8
4727,Wednesday,Suicide-related,No,31
4728,Wednesday,Person in Crisis,No,95
4729,Wednesday,Person in Crisis,Yes,18
4730,Wednesday,Suicide-related,No,107
4731,Wednesday,Suicide-related,No,166
4732,Wednesday,Suicide-related,No,155
4733,Wednesday,Suicide-related,No,155
4734,Wednesday,Suicide-related,No,166
4735,Wednesday,Person in Crisis,No,91
4736,Wednesday,Person in Crisis,No,135
4737,Wednesday,Suicide-related,No,23
4738,Wednesday,Person in Crisis,No,144
4739,Wednesday,Person in Crisis,No,168
4740,Wednesday,Suicide-related,No,100
4741,Wednesday,Suicide-related,No,122
4742,Thursday,Person in Crisis,Yes,84
4743,Thursday,Person in Crisis,Yes,36
4744,Thursday,Overdose,No,171
4745,Thursday,Person in Crisis,Yes,25
4746,Thursday,Suicide-related,Yes,105
4747,Thursday,Person in Crisis,No,136
4748,Thursday,Person in Crisis,Yes,128
4749,Thursday,Suicide-related,No,87
4750,Thursday,Overdose,No,30
4751,Thursday,Person in Crisis,No,87
4752,Thursday,Suicide-related,No,174
4753,Thursday,Person in Crisis,No,125
4754,Thursday,Person in Crisis,No,65
4755,Thursday,Person in Crisis,No,85
4756,Thursday,Person in Crisis,No,62
4757,Thursday,Person in Crisis,Yes,95
4758,Thursday,Overdose,No,111
4759,Thursday,Person in Crisis,No,115
4760,Thursday,Person in Crisis,No,168
4761,Thursday,Person in Crisis,No,39
4762,Thursday,Person in Crisis,No,83
4763,Thursday,Suicide-related,No,163
4764,Thursday,Suicide-related,No,83
4765,Thursday,Person in Crisis,Yes,128
4766,Thursday,Suicide-related,No,10
4767,Thursday,Overdose,No,24
4768,Thursday,Person in Crisis,No,85
4769,Thursday,Overdose,No,72
4770,Thursday,Suicide-related,No,78
4771,Thursday,Person in Crisis,No,63
4772,Thursday,Overdose,No,87
4773,Thursday,Person in Crisis,No,118
4774,Thursday,Person in Crisis,Yes,25
4775,Thursday,Person in Crisis,No,118
4776,Thursday,Person in Crisis,No,2
4777,Thursday,Overdose,No,78
4778,Thursday,Suicide-related,No,10
4779,Thursday,Person in Crisis,No,87
4780,Thursday,Person in Crisis,No,136
4781,Thursday,Suicide-related,Yes,143
4782,Thursday,Person in Crisis,No,94
4783,Thursday,Person in Crisis,No,113
4784,Thursday,Person in Crisis,No,162
4785,Thursday,Person in Crisis,No,158
4786,Thursday,Person in Crisis,No,169
4787,Thursday,Overdose,No,121
4788,Thursday,Person in Crisis,No,128
4789,Thursday,Person in Crisis,No,170
4790,Friday,Person in Crisis,No,95
4791,Friday,Person in Crisis,No,95
4792,Friday,Overdose,No,128
4793,Friday,Person in Crisis,Yes,95
4794,Friday,Person in Crisis,No,161
4795,Friday,Person in Crisis,No,164
4796,Friday,Person in Crisis,Yes,154
4797,Friday,Suicide-related,No,156
4798,Friday,Person in Crisis,Yes,79
4799,Friday,Suicide-related,No,33
4800,Friday,Suicide-related,Yes,63
4801,Friday,Suicide-related,No,146
4802,Friday,Person in Crisis,No,9
4803,Friday,Person in Crisis,No,163
4804,Friday,Person in Crisis,Yes,164
4805,Friday,Overdose,No,156
4806,Friday,Person in Crisis,No,38
4807,Friday,Person in Crisis,No,73
4808,Friday,Person in Crisis,No,73
4809,Friday,Person in Crisis,No,165
4810,Friday,Person in Crisis,Yes,96
4811,Friday,Suicide-related,No,159
4812,Friday,Person in Crisis,No,32
4813,Friday,Person in Crisis,No,138
4814,Friday,Person in Crisis,No,78
4815,Friday,Person in Crisis,No,70
4816,Friday,Suicide-related,No,66
4817,Friday,Overdose,No,6
4818,Friday,Person in Crisis,No,32
4819,Friday,Person in Crisis,No,8
4820,Friday,Suicide-related,No,94
4821,Friday,Overdose,No,54
4822,Friday,Person in Crisis,Yes,44
4823,Friday,Suicide-related,No,100
4824,Friday,Person in Crisis,No,78
4825,Friday,Person in Crisis,Yes,99
4826,Friday,Suicide-related,Yes,47
4827,Friday,Person in Crisis,No,41
4828,Friday,Suicide-related,Yes,111
4829,Friday,Person in Crisis,Yes,7
4830,Friday,Suicide-related,No,35
4831,Friday,Person in Crisis,No,69
4832,Friday,Person in Crisis,No,85
4833,Friday,Person in Crisis,No,85
4834,Friday,Person in Crisis,No,143
4835,Friday,Person in Crisis,No,164
4836,Friday,Overdose,No,78
4837,Friday,Person in Crisis,No,168
4838,Friday,Person in Crisis,Yes,156
4839,Friday,Person in Crisis,No,79
4840,Friday,Person in Crisis,No,53
4841,Friday,Person in Crisis,No,121
4842,Friday,Overdose,No,70
4843,Friday,Person in Crisis,Yes,73
4844,Friday,Person in Crisis,Yes,66
4845,Friday,Suicide-related,No,136
4846,Friday,Suicide-related,No,164
4847,Friday,Person in Crisis,No,168
4848,Friday,Person in Crisis,No,167
4849,Friday,Person in Crisis,No,35
4850,Friday,Suicide-related,No,1
4851,Friday,Person in Crisis,No,102
4852,Friday,Suicide-related,Yes,103
4853,Friday,Person in Crisis,Yes,70
4854,Saturday,Suicide-related,No,160
4855,Saturday,Person in Crisis,No,16
4856,Saturday,Suicide-related,No,74
4857,Saturday,Suicide-related,No,169
4858,Saturday,Suicide-related,No,56
4859,Saturday,Person in Crisis,No,169
4860,Saturday,Person in Crisis,No,99
4861,Saturday,Overdose,No,12
4862,Saturday,Person in Crisis,No,148
4863,Saturday,Person in Crisis,Yes,16
4864,Saturday,Suicide-related,No,27
4865,Saturday,Suicide-related,Yes,22
4866,Saturday,Person in Crisis,Yes,114
4867,Saturday,Person in Crisis,Yes,87
4868,Saturday,Person in Crisis,No,85
4869,Saturday,Suicide-related,No,173
4870,Saturday,Suicide-related,No,43
4871,Saturday,Suicide-related,No,40
4872,Saturday,Person in Crisis,No,166
4873,Saturday,Person in Crisis,No,135
4874,Saturday,Overdose,No,78
4875,Saturday,Person in Crisis,No,40
4876,Saturday,Person in Crisis,No,174
4877,Saturday,Person in Crisis,No,58
4878,Saturday,Suicide-related,No,2
4879,Saturday,Person in Crisis,Yes,5
4880,Saturday,Person in Crisis,No,119
4881,Saturday,Suicide-related,No,88
4882,Saturday,Overdose,Yes,64
4883,Saturday,Person in Crisis,No,168
4884,Saturday,Person in Crisis,No,174
4885,Saturday,Suicide-related,Yes,40
4886,Saturday,Person in Crisis,Yes,16
4887,Saturday,Person in Crisis,No,160
4888,Saturday,Person in Crisis,No,167
4889,Saturday,Person in Crisis,No,31
4890,Saturday,Suicide-related,No,87
4891,Saturday,Person in Crisis,No,138
4892,Saturday,Suicide-related,Yes,52
4894,Saturday,Person in Crisis,No,54
4895,Saturday,Person in Crisis,No,162
4896,Saturday,Person in Crisis,No,81
4897,Saturday,Person in Crisis,No,47
4898,Saturday,Person in Crisis,No,162
4899,Saturday,Person in Crisis,No,128
4900,Saturday,Overdose,Yes,168
4901,Saturday,Person in Crisis,No,169
4902,Saturday,Person in Crisis,No,1
4903,Saturday,Overdose,No,78
4904,Sunday,Person in Crisis,No,68
4905,Sunday,Person in Crisis,Yes,78
4906,Sunday,Person in Crisis,No,36
4907,Sunday,Person in Crisis,No,168
4908,Sunday,Suicide-related,Yes,136
4909,Sunday,Person in Crisis,No,53
4910,Sunday,Suicide-related,No,88
4911,Sunday,Person in Crisis,No,87
4912,Sunday,Suicide-related,No,151
4913,Sunday,Person in Crisis,No,121
4914,Sunday,Person in Crisis,No,37
4915,Sunday,Suicide-related,No,78
4916,Sunday,Person in Crisis,No,86
4917,Sunday,Person in Crisis,No,110
4918,Sunday,Person in Crisis,No,166
4919,Sunday,Person in Crisis,No,36
4920,Sunday,Suicide-related,Yes,65
4921,Sunday,Person in Crisis,No,21
4922,Sunday,Person in Crisis,No,141
4923,Sunday,Suicide-related,No,83
4924,Sunday,Suicide-related,Yes,158
4925,Sunday,Person in Crisis,No,145
4926,Sunday,Person in Crisis,No,85
4927,Sunday,Person in Crisis,No,121
4928,Sunday,Person in Crisis,No,24
4929,Sunday,Suicide-related,No,53
4930,Sunday,Suicide-related,No,37
4931,Sunday,Person in Crisis,No,62
4932,Sunday,Person in Crisis,No,73
4933,Sunday,Suicide-related,No,120
4934,Sunday,Person in Crisis,No,71
4935,Sunday,Suicide-related,Yes,1
4936,Sunday,Overdose,Yes,70
4937,Sunday,Suicide-related,Yes,164
4938,Sunday,Person in Crisis,No,37
4939,Sunday,Suicide-related,No,167
4940,Sunday,Person in Crisis,Yes,84
4941,Sunday,Suicide-related,Yes,78
4942,Sunday,Overdose,No,121
4943,Sunday,Overdose,Yes,141
4944,Sunday,Overdose,No,167
4945,Sunday,Person in Crisis,No,138
4946,Sunday,Person in Crisis,No,115
4947,Sunday,Person in Crisis,No,168
4948,Sunday,Person in Crisis,No,38
4949,Sunday,Person in Crisis,No,72
4950,Sunday,Overdose,Yes,5
4951,Sunday,Suicide-related,No,85
4952,Sunday,Person in Crisis,No,170
4953,Sunday,Person in Crisis,No,166
4954,Sunday,Person in Crisis,No,162
4955,Sunday,Suicide-related,No,114
4956,Sunday,Overdose,No,85
4957,Sunday,Person in Crisis,No,148
4958,Sunday,Suicide-related,Yes,13
4959,Sunday,Suicide-related,No,84
4960,Sunday,Person in Crisis,Yes,30
4961,Sunday,Person in Crisis,Yes,70
4962,Sunday,Person in Crisis,No,129
4963,Sunday,Person in Crisis,No,85
4964,Sunday,Person in Crisis,No,68
4965,Monday,Suicide-related,No,71
4966,Monday,Person in Crisis,No,149
4967,Monday,Person in Crisis,No,157
4968,Monday,Suicide-related,No,121
4969,Monday,Suicide-related,No,74
4970,Monday,Suicide-related,No,33
4971,Monday,Person in Crisis,No,23
4972,Monday,Person in Crisis,Yes,170
4973,Monday,Person in Crisis,No,85
4974,Monday,Person in Crisis,No,155
4975,Monday,Suicide-related,Yes,154
4976,Monday,Person in Crisis,No,62
4977,Monday,Overdose,No,64
4978,Monday,Person in Crisis,No,171
4979,Monday,Suicide-related,Yes,98
4980,Monday,Suicide-related,No,73
4981,Monday,Overdose,No,36
4982,Monday,Suicide-related,No,123
4983,Monday,Person in Crisis,No,19
4984,Monday,Suicide-related,No,23
4985,Monday,Suicide-related,No,27
4986,Monday,Suicide-related,Yes,107
4987,Monday,Suicide-related,No,11
4988,Monday,Person in Crisis,No,78
4989,Monday,Person in Crisis,Yes,164
4990,Monday,Person in Crisis,Yes,42
4991,Monday,Person in Crisis,Yes,143
4992,Monday,Person in Crisis,No,148
4993,Monday,Person in Crisis,No,43
4994,Monday,Person in Crisis,No,164
4995,Monday,Person in Crisis,No,168
4996,Monday,Person in Crisis,No,150
4997,Monday,Person in Crisis,Yes,62
4998,Monday,Suicide-related,No,62
4999,Monday,Person in Crisis,Yes,110
5000,Monday,Person in Crisis,No,16
5001,Monday,Person in Crisis,No,170
5002,Monday,Person in Crisis,No,16
5003,Monday,Person in Crisis,No,154
5004,Monday,Overdose,No,78
5005,Monday,Overdose,No,88
5006,Monday,Person in Crisis,Yes,73
5007,Monday,Person in Crisis,No,81
5008,Monday,Person in Crisis,No,74
5009,Monday,Person in Crisis,No,73
5010,Monday,Suicide-related,No,42
5011,Monday,Person in Crisis,No,98
5012,Monday,Person in Crisis,No,83
5013,Monday,Person in Crisis,No,81
5014,Monday,Person in Crisis,No,121
5015,Monday,Person in Crisis,No,94
5016,Monday,Person in Crisis,No,135
5017,Monday,Person in Crisis,Yes,5
5018,Monday,Person in Crisis,No,113
5019,Monday,Person in Crisis,No,80
5020,Monday,Suicide-related,No,147
5021,Monday,Person in Crisis,No,78
5022,Monday,Overdose,No,145
5023,Monday,Suicide-related,No,18
5024,Tuesday,Suicide-related,Yes,28
5025,Tuesday,Person in Crisis,No,162
5026,Tuesday,Person in Crisis,No,54
5027,Tuesday,Person in Crisis,No,141
5028,Tuesday,Suicide-related,No,170
5029,Tuesday,Suicide-related,No,54
5030,Tuesday,Person in Crisis,Yes,54
5031,Tuesday,Overdose,No,19
5032,Tuesday,Person in Crisis,No,168
5033,Tuesday,Person in Crisis,No,65
5034,Tuesday,Person in Crisis,No,113
5035,Tuesday,Person in Crisis,No,155
5036,Tuesday,Suicide-related,Yes,163
5037,Tuesday,Suicide-related,Yes,35
5038,Tuesday,Person in Crisis,No,70
5039,Tuesday,Suicide-related,Yes,70
5040,Tuesday,Overdose,No,70
5041,Tuesday,Suicide-related,No,1
5042,Tuesday,Overdose,No,166
5043,Tuesday,Person in Crisis,Yes,78
5044,Tuesday,Person in Crisis,No,44
5045,Tuesday,Suicide-related,Yes,36
5046,Tuesday,Person in Crisis,No,110
5047,Tuesday,Person in Crisis,No,119
5048,Tuesday,Person in Crisis,No,83
5049,Tuesday,Person in Crisis,No,80
5050,Tuesday,Person in Crisis,No,135
5051,Tuesday,Suicide-related,Yes,22
5052,Tuesday,Suicide-related,Yes,88
5053,Tuesday,Person in Crisis,No,121
5054,Tuesday,Person in Crisis,Yes,92
5055,Tuesday,Suicide-related,No,111
5056,Tuesday,Suicide-related,No,171
5057,Tuesday,Person in Crisis,Yes,68
5058,Tuesday,Person in Crisis,No,16
5059,Tuesday,Person in Crisis,No,73
5060,Tuesday,Person in Crisis,No,139
5061,Tuesday,Person in Crisis,No,141
5062,Tuesday,Person in Crisis,Yes,168
5063,Tuesday,Suicide-related,No,170
5064,Tuesday,Person in Crisis,No,70
5065,Tuesday,Suicide-related,No,160
5066,Tuesday,Suicide-related,No,66
