objectid,event_type,hood_158_loc
18597,Person in Crisis,73
18598,Suicide-related,87
18599,Person in Crisis,145
18600,Person in Crisis,61
18601,Person in Crisis,146
18602,Overdose,159
18603,Suicide-related,79
18604,Overdose,84
18605,Person in Crisis,78
18606,Person in Crisis,10
18607,Suicide-related,71
18608,Suicide-related,138
18609,Person in Crisis,124
18610,Person in Crisis,107
18611,Suicide-related,79
18612,Suicide-related,68
18613,Suicide-related,92
18614,Person in Crisis,9
18615,Person in Crisis,92
18616,Suicide-related,65
18617,Person in Crisis,53
18618,Overdose,126
18619,Person in Crisis,35
18620,Person in Crisis,159
18621,Overdose,115
18622,Person in Crisis,74
18623,Overdose,44
18624,Person in Crisis,62
18625,Suicide-related,65
18626,Suicide-related,1
18627,Suicide-related,1
18628,Person in Crisis,74
18629,Suicide-related,38
18630,Suicide-related,138
18631,Overdose,65
18632,Suicide-related,21
18633,Person in Crisis,78
18634,Person in Crisis,168
18635,Person in Crisis,86
18636,Person in Crisis,118
18637,Overdose,30
18638,Person in Crisis,91
18639,Suicide-related,21
18640,Person in Crisis,135
18641,Person in Crisis,96
18642,Person in Crisis,85
18643,Suicide-related,63
18644,Overdose,80
18645,Person in Crisis,173
18646,Person in Crisis,125
18647,Person in Crisis,110
18648,Person in Crisis,168
18649,Overdose,113
18650,Person in Crisis,81
18651,Person in Crisis,65
18652,Person in Crisis,55
18653,Person in Crisis,1
18654,Person in Crisis,42
18655,Suicide-related,152
18656,Overdose,80
18657,Suicide-related,80
18658,Person in Crisis,64
18659,Suicide-related,78
18660,Suicide-related,11
18661,Suicide-related,166
18662,Suicide-related,98
18663,Suicide-related,107
18664,Person in Crisis,42
18665,Overdose,150
18666,Person in Crisis,62
18667,Person in Crisis,78
18668,Person in Crisis,87
18669,Person in Crisis,70
18670,Person in Crisis,166
18671,Person in Crisis,122
18672,Person in Crisis,164
18673,Person in Crisis,128
18674,Suicide-related,85
18675,Person in Crisis,167
18676,Suicide-related,106
18677,Person in Crisis,73
18678,Person in Crisis,162
18679,Overdose,78
18680,Suicide-related,166
18681,Suicide-related,5
18682,Person in Crisis,99
18683,Person in Crisis,71
18684,Person in Crisis,107
18685,Person in Crisis,73
18686,Suicide-related,160
18687,Person in Crisis,107
18688,Suicide-related,35
18689,Person in Crisis,58
18690,Person in Crisis,73
18691,Person in Crisis,95
18692,Person in Crisis,78
18693,Person in Crisis,94
18694,Person in Crisis,59
18695,Suicide-related,25
18696,Person in Crisis,73
18697,Suicide-related,164
18698,Overdose,78
18699,Person in Crisis,62
18700,Person in Crisis,168
18701,Person in Crisis,85
18702,Person in Crisis,78
18703,Person in Crisis,162
18704,Person in Crisis,35
18705,Suicide-related,85
18706,Person in Crisis,16
18707,Person in Crisis,1
18708,Person in Crisis,150
18709,Suicide-related,169
18710,Person in Crisis,5
18711,Suicide-related,123
18712,Person in Crisis,111
18713,Person in Crisis,149
18714,Person in Crisis,141
18715,Person in Crisis,16
18716,Person in Crisis,36
18717,Person in Crisis,1
18718,Suicide-related,27
18719,Person in Crisis,78
18720,Overdose,136
18721,Person in Crisis,42
18722,Suicide-related,112
18723,Overdose,161
18724,Person in Crisis,83
18725,Suicide-related,43
18726,Person in Crisis,157
18727,Person in Crisis,59
18728,Person in Crisis,68
18729,Overdose,6
18730,Suicide-related,62
18731,Person in Crisis,34
18732,Person in Crisis,95
18733,Person in Crisis,136
18734,Person in Crisis,85
18735,Person in Crisis,27
18736,Suicide-related,160
18737,Person in Crisis,73
18738,Suicide-related,9
18739,Person in Crisis,139
18740,Suicide-related,110
18741,Person in Crisis,48
18742,Suicide-related,170
18743,Suicide-related,39
18744,Suicide-related,123
18745,Suicide-related,27
18746,Person in Crisis,124
18747,Suicide-related,81
18748,Person in Crisis,46
18749,Suicide-related,165
18750,Person in Crisis,118
18751,Suicide-related,103
18752,Suicide-related,39
18753,Person in Crisis,81
18754,Suicide-related,172
18755,Person in Crisis,73
18756,Suicide-related,58
18757,Person in Crisis,167
18758,Suicide-related,71
18759,Person in Crisis,13
18760,Person in Crisis,4
18761,Suicide-related,32
18762,Suicide-related,174
18763,Person in Crisis,168
18764,Person in Crisis,40
18765,Person in Crisis,78
18766,Person in Crisis,30
18767,Overdose,143
18768,Person in Crisis,63
18769,Suicide-related,57
18770,Suicide-related,40
18771,Suicide-related,140
18772,Person in Crisis,42
18773,Person in Crisis,73
18774,Person in Crisis,168
18775,Person in Crisis,85
18776,Person in Crisis,7
18777,Person in Crisis,85
18778,Person in Crisis,7
18779,Person in Crisis,126
18780,Suicide-related,124
18781,Person in Crisis,166
18782,Person in Crisis,121
18783,Person in Crisis,6
18784,Suicide-related,90
18785,Person in Crisis,68
18786,Person in Crisis,81
18787,Person in Crisis,106
18788,Person in Crisis,73
18789,Person in Crisis,95
18790,Suicide-related,70
18791,Person in Crisis,164
18792,Overdose,54
18793,Overdose,47
18794,Person in Crisis,100
18795,Person in Crisis,168
18796,Suicide-related,71
18797,Person in Crisis,162
18798,Suicide-related,167
18799,Suicide-related,120
18800,Person in Crisis,168
18801,Person in Crisis,37
18802,Person in Crisis,144
18803,Suicide-related,161
18804,Person in Crisis,121
18805,Overdose,133
18806,Suicide-related,85
18807,Suicide-related,65
18808,Person in Crisis,73
18809,Person in Crisis,166
18810,Person in Crisis,73
18811,Suicide-related,95
18812,Person in Crisis,70
18813,Person in Crisis,85
18814,Suicide-related,120
18815,Person in Crisis,78
18816,Person in Crisis,94
18817,Person in Crisis,78
18818,Person in Crisis,92
18819,Suicide-related,16
18820,Person in Crisis,9
18821,Person in Crisis,69
18822,Person in Crisis,34
18823,Person in Crisis,112
18824,Suicide-related,38
18825,Suicide-related,72
18826,Suicide-related,88
18827,Person in Crisis,78
18828,Person in Crisis,79
18829,Person in Crisis,114
18830,Person in Crisis,161
18831,Person in Crisis,85
18832,Suicide-related,162
18833,Overdose,122
18834,Person in Crisis,107
18835,Person in Crisis,155
18836,Overdose,146
18837,Person in Crisis,73
18838,Person in Crisis,73
18839,Person in Crisis,38
18840,Suicide-related,39
18841,Person in Crisis,85
18842,Suicide-related,121
18843,Person in Crisis,54
18844,Person in Crisis,81
18845,Suicide-related,62
18846,Person in Crisis,95
18847,Person in Crisis,16
18848,Suicide-related,9
18849,Person in Crisis,168
18850,Person in Crisis,105
18851,Overdose,163
18852,Suicide-related,23
18853,Person in Crisis,124
18854,Suicide-related,136
18855,Suicide-related,40
18856,Suicide-related,136
18857,Person in Crisis,170
18858,Person in Crisis,94
18859,Person in Crisis,162
18860,Person in Crisis,87
18861,Person in Crisis,115
18862,Person in Crisis,73
18863,Person in Crisis,87
18864,Person in Crisis,1
18865,Person in Crisis,27
18866,Suicide-related,86
18867,Person in Crisis,85
18868,Person in Crisis,139
18869,Suicide-related,160
18870,Person in Crisis,85
18871,Person in Crisis,147
18872,Person in Crisis,139
18873,Person in Crisis,141
18874,Person in Crisis,74
18875,Suicide-related,160
18876,Person in Crisis,168
18877,Person in Crisis,81
18878,Person in Crisis,28
18879,Person in Crisis,37
18880,Person in Crisis,108
18881,Suicide-related,80
18882,Person in Crisis,169
18883,Suicide-related,133
18884,Suicide-related,97
18885,Person in Crisis,83
18886,Person in Crisis,111
18887,Person in Crisis,162
18888,Suicide-related,40
18889,Person in Crisis,106
18890,Overdose,85
18891,Overdose,12
18892,Person in Crisis,85
18893,Person in Crisis,79
18894,Person in Crisis,160
18895,Person in Crisis,92
18896,Suicide-related,50
18897,Person in Crisis,154
18898,Person in Crisis,133
18899,Person in Crisis,166
18900,Person in Crisis,2
18901,Person in Crisis,146
18902,Person in Crisis,171
18903,Person in Crisis,168
18904,Suicide-related,158
18905,Suicide-related,168
18906,Person in Crisis,110
18907,Person in Crisis,144
18908,Person in Crisis,52
18909,Person in Crisis,107
18910,Suicide-related,110
18911,Person in Crisis,85
18912,Person in Crisis,20
18913,Suicide-related,47
18914,Person in Crisis,146
18915,Suicide-related,171
18916,Person in Crisis,170
18917,Suicide-related,170
18918,Person in Crisis,108
18919,Suicide-related,18
18920,Person in Crisis,31
18921,Suicide-related,166
18922,Suicide-related,128
18923,Person in Crisis,4
18924,Person in Crisis,136
18925,Person in Crisis,168
18926,Suicide-related,170
18927,Person in Crisis,83
18928,Suicide-related,3
18929,Overdose,25
18930,Overdose,95
18931,Suicide-related,78
18932,Person in Crisis,73
18933,Person in Crisis,99
18934,Suicide-related,85
18935,Person in Crisis,106
18936,Person in Crisis,122
18937,Person in Crisis,84
18938,Overdose,78
18939,Person in Crisis,62
18940,Suicide-related,168
18941,Suicide-related,94
18942,Overdose,133
18943,Person in Crisis,113
18944,Suicide-related,39
18945,Suicide-related,154
18946,Person in Crisis,168
18947,Person in Crisis,18
18948,Suicide-related,136
18949,Person in Crisis,89
18950,Suicide-related,173
18951,Person in Crisis,100
18952,Suicide-related,78
18953,Suicide-related,139
18954,Person in Crisis,136
18955,Person in Crisis,164
18956,Suicide-related,9
18957,Overdose,146
18958,Person in Crisis,118
18959,Overdose,168
18960,Person in Crisis,170
18961,Person in Crisis,167
18962,Person in Crisis,62
18963,Overdose,64
18964,Suicide-related,80
18965,Person in Crisis,85
18966,Person in Crisis,30
18967,Suicide-related,39
18968,Suicide-related,19
18969,Suicide-related,130
18970,Person in Crisis,95
18971,Person in Crisis,2
18972,Suicide-related,100
18973,Person in Crisis,64
18974,Person in Crisis,108
18975,Person in Crisis,85
18976,Person in Crisis,47
18977,Person in Crisis,123
18978,Suicide-related,120
18979,Suicide-related,24
18980,Suicide-related,110
18981,Person in Crisis,85
18982,Suicide-related,147
18983,Suicide-related,124
18984,Person in Crisis,81
18985,Suicide-related,87
18986,Person in Crisis,129
18987,Suicide-related,160
18988,Person in Crisis,54
18989,Suicide-related,2
18990,Suicide-related,118
18991,Suicide-related,157
18992,Person in Crisis,110
18993,Person in Crisis,113
18994,Person in Crisis,62
18995,Person in Crisis,2
18996,Person in Crisis,72
18997,Suicide-related,94
18998,Person in Crisis,168
18999,Person in Crisis,70
19000,Person in Crisis,173
19001,Person in Crisis,88
19002,Person in Crisis,78
19003,Suicide-related,97
19004,Person in Crisis,88
19005,Person in Crisis,170
19006,Person in Crisis,55
19007,Person in Crisis,85
19008,Suicide-related,71
19009,Person in Crisis,170
19010,Person in Crisis,170
19011,Suicide-related,163
19012,Suicide-related,55
19013,Suicide-related,88
19014,Suicide-related,25
19015,Person in Crisis,136
19016,Suicide-related,53
19017,Person in Crisis,73
19018,Overdose,168
19019,Person in Crisis,62
19020,Suicide-related,35
19021,Suicide-related,111
19022,Person in Crisis,87
19023,Person in Crisis,8
19024,Suicide-related,102
19025,Overdose,159
19026,Suicide-related,16
19027,Suicide-related,85
19028,Person in Crisis,69
19029,Overdose,129
19030,Person in Crisis,54
19031,Suicide-related,133
19032,Person in Crisis,162
19033,Person in Crisis,169
19034,Person in Crisis,85
19035,Suicide-related,170
19036,Overdose,85
19037,Person in Crisis,2
19038,Overdose,141
19039,Suicide-related,60
19040,Suicide-related,168
19041,Suicide-related,124
19042,Person in Crisis,52
19043,Suicide-related,152
19044,Suicide-related,27
19045,Suicide-related,136
19046,Person in Crisis,118
19047,Person in Crisis,46
19048,Suicide-related,165
19049,Person in Crisis,170
19050,Overdose,97
19051,Suicide-related,138
19052,Person in Crisis,168
19053,Person in Crisis,151
19054,Overdose,64
19055,Person in Crisis,122
19056,Suicide-related,39
19057,Overdose,110
19058,Person in Crisis,73
19059,Suicide-related,168
19060,Suicide-related,25
19061,Suicide-related,97
19062,Person in Crisis,68
19063,Person in Crisis,154
19064,Person in Crisis,153
19065,Person in Crisis,16
19066,Person in Crisis,167
19067,Person in Crisis,86
19068,Suicide-related,148
19069,Person in Crisis,62
19070,Person in Crisis,169
19071,Person in Crisis,73
19072,Suicide-related,54
19073,Suicide-related,63
19074,Suicide-related,168
19075,Person in Crisis,111
19076,Suicide-related,57
19077,Suicide-related,79
19078,Person in Crisis,55
19079,Person in Crisis,44
19080,Person in Crisis,159
19081,Suicide-related,120
19082,Person in Crisis,133
19083,Suicide-related,167
19084,Person in Crisis,32
19085,Person in Crisis,67
19086,Person in Crisis,44
19087,Person in Crisis,136
19088,Person in Crisis,25
19089,Person in Crisis,70
19090,Overdose,96
19091,Suicide-related,98
19092,Suicide-related,140
19093,Person in Crisis,65
19094,Person in Crisis,13
19095,Person in Crisis,164
19096,Suicide-related,139
19097,Person in Crisis,84
19098,Suicide-related,36
19099,Suicide-related,160
19100,Suicide-related,16
19101,Person in Crisis,31
19102,Suicide-related,139
19103,Suicide-related,95
19104,Suicide-related,85
19106,Suicide-related,107
19107,Suicide-related,168
19108,Person in Crisis,119
19109,Person in Crisis,110
19110,Person in Crisis,25
19111,Person in Crisis,110
19112,Suicide-related,27
19113,Suicide-related,39
19114,Person in Crisis,170
19115,Suicide-related,168
19116,Person in Crisis,159
19117,Suicide-related,3
19118,Suicide-related,59
19119,Person in Crisis,78
19120,Suicide-related,1
19121,Person in Crisis,37
19122,Person in Crisis,30
19123,Person in Crisis,166
19124,Person in Crisis,167
19125,Person in Crisis,55
19126,Suicide-related,96
19127,Person in Crisis,164
19128,Suicide-related,32
19129,Person in Crisis,96
19130,Suicide-related,156
19131,Person in Crisis,155
19132,Person in Crisis,143
19133,Suicide-related,54
19134,Person in Crisis,16
19135,Person in Crisis,85
19136,Person in Crisis,136
19137,Suicide-related,74
19138,Person in Crisis,79
19139,Suicide-related,78
19140,Overdose,171
19141,Suicide-related,160
19142,Person in Crisis,170
19143,Suicide-related,160
19144,Person in Crisis,136
19145,Suicide-related,113
19146,Person in Crisis,47
19147,Suicide-related,43
19148,Person in Crisis,154
19149,Suicide-related,50
19150,Person in Crisis,73
19151,Person in Crisis,54
19152,Suicide-related,168
19153,Suicide-related,23
19154,Person in Crisis,52
19155,Person in Crisis,89
19156,Suicide-related,170
19157,Suicide-related,142
19158,Person in Crisis,142
19159,Person in Crisis,31
19160,Person in Crisis,42
19161,Person in Crisis,169
19162,Suicide-related,141
19163,Suicide-related,136
19164,Overdose,166
19165,Suicide-related,170
19166,Suicide-related,141
19167,Suicide-related,70
19168,Suicide-related,40
19169,Suicide-related,98
19170,Person in Crisis,78
19171,Suicide-related,78
19172,Suicide-related,141
19173,Person in Crisis,52
19174,Person in Crisis,57
19175,Suicide-related,155
19176,Suicide-related,171
19177,Suicide-related,140
19178,Person in Crisis,170
19179,Person in Crisis,81
19180,Person in Crisis,153
19181,Person in Crisis,138
19182,Person in Crisis,148
19183,Person in Crisis,168
19184,Overdose,119
19185,Person in Crisis,85
19186,Suicide-related,73
19187,Suicide-related,122
19188,Suicide-related,71
19189,Suicide-related,79
19190,Person in Crisis,73
19191,Person in Crisis,168
19192,Suicide-related,106
19193,Suicide-related,171
19194,Person in Crisis,155
19195,Person in Crisis,78
19196,Person in Crisis,16
19197,Person in Crisis,43
19198,Suicide-related,88
19199,Suicide-related,152
19200,Overdose,2
19201,Overdose,27
19202,Person in Crisis,119
19203,Person in Crisis,164
19204,Person in Crisis,42
19205,Suicide-related,168
19206,Person in Crisis,35
19207,Suicide-related,95
19208,Suicide-related,170
19209,Person in Crisis,78
19210,Suicide-related,110
19211,Suicide-related,79
19212,Person in Crisis,30
19213,Person in Crisis,74
19214,Person in Crisis,168
19215,Suicide-related,1
19216,Suicide-related,43
19217,Person in Crisis,25
19218,Person in Crisis,138
19219,Suicide-related,119
19220,Suicide-related,63
19221,Person in Crisis,1
19222,Person in Crisis,30
19223,Person in Crisis,73
19224,Suicide-related,36
19225,Suicide-related,73
19226,Suicide-related,69
19227,Person in Crisis,160
19228,Person in Crisis,73
19229,Suicide-related,107
19230,Person in Crisis,169
19231,Person in Crisis,54
19232,Person in Crisis,141
19233,Person in Crisis,85
19234,Person in Crisis,162
19235,Person in Crisis,84
19236,Person in Crisis,70
19237,Person in Crisis,1
19238,Person in Crisis,69
19239,Person in Crisis,65
19240,Person in Crisis,162
19241,Person in Crisis,170
19242,Person in Crisis,84
19243,Overdose,79
19244,Person in Crisis,159
19245,Overdose,54
19246,Person in Crisis,107
19247,Suicide-related,95
19248,Person in Crisis,148
19249,Person in Crisis,121
19250,Overdose,91
19251,Overdose,69
19252,Person in Crisis,43
19253,Person in Crisis,22
19254,Overdose,73
19255,Suicide-related,39
19256,Person in Crisis,36
19257,Person in Crisis,119
19258,Person in Crisis,2
19259,Suicide-related,170
19260,Person in Crisis,169
19261,Overdose,145
19262,Person in Crisis,80
19263,Person in Crisis,113
19264,Person in Crisis,1
19265,Person in Crisis,5
19266,Person in Crisis,170
19267,Person in Crisis,79
19268,Suicide-related,48
19269,Person in Crisis,146
19270,Overdose,152
19271,Person in Crisis,85
19272,Person in Crisis,122
19273,Suicide-related,158
19274,Person in Crisis,136
19275,Person in Crisis,42
19276,Suicide-related,99
19277,Person in Crisis,166
19278,Person in Crisis,168
19279,Person in Crisis,83
19280,Suicide-related,106
19281,Overdose,103
19282,Person in Crisis,160
19283,Overdose,40
19284,Person in Crisis,78
19285,Person in Crisis,68
19286,Person in Crisis,70
19287,Suicide-related,125
19288,Person in Crisis,107
19289,Suicide-related,141
19290,Person in Crisis,115
19291,Person in Crisis,125
19292,Person in Crisis,166
19293,Person in Crisis,138
19294,Person in Crisis,115
19295,Person in Crisis,73
19296,Suicide-related,150
19297,Suicide-related,142
19298,Person in Crisis,85
19299,Suicide-related,31
19300,Suicide-related,168
19301,Suicide-related,27
19302,Person in Crisis,122
19303,Suicide-related,44
19304,Suicide-related,94
19305,Suicide-related,19
19306,Suicide-related,70
19307,Person in Crisis,110
19308,Person in Crisis,170
19309,Person in Crisis,7
19310,Person in Crisis,73
19311,Suicide-related,106
19312,Person in Crisis,100
19313,Person in Crisis,85
19314,Person in Crisis,162
19315,Suicide-related,78
19316,Suicide-related,165
19317,Overdose,143
19318,Person in Crisis,159
19319,Suicide-related,163
19320,Suicide-related,103
19321,Person in Crisis,135
19322,Suicide-related,58
19323,Suicide-related,96
19324,Suicide-related,167
19325,Suicide-related,138
19326,Person in Crisis,54
19327,Person in Crisis,73
19328,Person in Crisis,73
19329,Person in Crisis,31
19330,Suicide-related,58
19331,Suicide-related,166
19332,Person in Crisis,160
19333,Suicide-related,168
19334,Person in Crisis,91
19335,Suicide-related,122
19336,Suicide-related,79
19337,Suicide-related,136
19338,Person in Crisis,61
19339,Suicide-related,118
19340,Suicide-related,115
19341,Person in Crisis,135
19342,Suicide-related,108
19343,Suicide-related,74
19344,Person in Crisis,70
19345,Suicide-related,149
19346,Overdose,33
19347,Person in Crisis,87
19348,Suicide-related,123
19349,Suicide-related,92
19350,Suicide-related,129
19351,Person in Crisis,84
19352,Suicide-related,36
19353,Person in Crisis,160
19354,Person in Crisis,23
19355,Person in Crisis,59
19356,Person in Crisis,85
19357,Suicide-related,138
19358,Suicide-related,47
19359,Person in Crisis,63
19360,Person in Crisis,85
19361,Person in Crisis,83
19362,Person in Crisis,73
19363,Person in Crisis,32
19364,Person in Crisis,167
19365,Suicide-related,124
19366,Person in Crisis,85
19367,Suicide-related,78
19368,Person in Crisis,70
19369,Person in Crisis,85
19370,Suicide-related,18
19371,Suicide-related,146
19372,Person in Crisis,110
19373,Suicide-related,124
19374,Person in Crisis,73
19375,Person in Crisis,84
19376,Person in Crisis,68
19377,Person in Crisis,166
19378,Person in Crisis,99
19379,Suicide-related,109
19380,Overdose,65
19381,Suicide-related,2
19382,Suicide-related,72
19383,Person in Crisis,91
19384,Person in Crisis,126
19385,Person in Crisis,31
19386,Suicide-related,78
19387,Person in Crisis,86
19388,Person in Crisis,172
19389,Overdose,73
19390,Person in Crisis,135
19391,Person in Crisis,54
19392,Person in Crisis,98
19393,Suicide-related,74
19394,Person in Crisis,78
19395,Person in Crisis,50
19396,Person in Crisis,57
19397,Overdose,1
19398,Person in Crisis,124
19399,Person in Crisis,141
19400,Overdose,113
19401,Person in Crisis,155
19402,Overdose,44
19403,Person in Crisis,73
19404,Person in Crisis,61
19405,Suicide-related,63
19406,Person in Crisis,56
19407,Person in Crisis,128
19408,Person in Crisis,78
19409,Person in Crisis,122
19410,Person in Crisis,78
19411,Person in Crisis,63
19412,Person in Crisis,63
19413,Person in Crisis,170
19414,Person in Crisis,138
19415,Person in Crisis,89
19416,Person in Crisis,135
19417,Person in Crisis,162
19418,Suicide-related,166
19419,Person in Crisis,110
19420,Suicide-related,128
19421,Person in Crisis,102
19422,Suicide-related,85
19423,Person in Crisis,136
19424,Suicide-related,78
19425,Suicide-related,96
19426,Person in Crisis,69
19427,Suicide-related,22
19428,Person in Crisis,53
19429,Person in Crisis,129
19430,Suicide-related,58
19431,Person in Crisis,32
19432,Person in Crisis,73
19433,Suicide-related,106
19434,Person in Crisis,159
19435,Person in Crisis,81
19436,Person in Crisis,69
19437,Person in Crisis,27
19438,Person in Crisis,110
19439,Person in Crisis,159
19440,Person in Crisis,95
19441,Person in Crisis,107
19442,Suicide-related,119
19443,Person in Crisis,122
19444,Person in Crisis,105
19445,Person in Crisis,72
19446,Person in Crisis,87
19447,Suicide-related,124
19448,Person in Crisis,90
19449,Suicide-related,170
19450,Suicide-related,59
19451,Person in Crisis,74
19452,Suicide-related,59
19453,Suicide-related,78
19454,Person in Crisis,94
19455,Person in Crisis,162
19456,Person in Crisis,62
19457,Overdose,73
19458,Person in Crisis,85
19459,Suicide-related,81
19460,Suicide-related,85
19461,Person in Crisis,70
19462,Suicide-related,173
19463,Overdose,9
19464,Person in Crisis,86
19465,Suicide-related,78
19466,Suicide-related,109
19467,Person in Crisis,162
19468,Suicide-related,48
19469,Person in Crisis,78
19470,Person in Crisis,71
19471,Person in Crisis,54
19472,Suicide-related,38
19473,Suicide-related,130
19474,Person in Crisis,18
19475,Person in Crisis,120
19476,Person in Crisis,110
19477,Person in Crisis,160
19478,Person in Crisis,16
19479,Suicide-related,159
19480,Suicide-related,170
19481,Person in Crisis,70
19482,Person in Crisis,136
19483,Suicide-related,2
19484,Person in Crisis,55
19485,Suicide-related,89
19486,Suicide-related,90
19487,Person in Crisis,63
19488,Suicide-related,155
19489,Person in Crisis,2
19490,Person in Crisis,59
19491,Person in Crisis,81
19492,Person in Crisis,78
19493,Person in Crisis,25
19494,Suicide-related,158
19495,Person in Crisis,158
19496,Person in Crisis,150
19497,Suicide-related,80
19498,Suicide-related,157
19499,Suicide-related,163
19500,Suicide-related,136
19501,Suicide-related,145
19502,Person in Crisis,130
19503,Overdose,85
19504,Person in Crisis,65
19505,Suicide-related,54
19506,Person in Crisis,162
19507,Suicide-related,167
19508,Person in Crisis,70
19509,Suicide-related,87
19510,Person in Crisis,78
19511,Person in Crisis,85
19512,Person in Crisis,65
19513,Person in Crisis,70
19514,Overdose,87
19515,Suicide-related,78
19516,Suicide-related,52
19517,Person in Crisis,70
19518,Suicide-related,160
19519,Person in Crisis,85
19520,Suicide-related,36
19521,Suicide-related,36
19522,Suicide-related,72
19523,Person in Crisis,171
19524,Suicide-related,91
19525,Suicide-related,43
19526,Person in Crisis,78
19527,Person in Crisis,3
19528,Suicide-related,30
19529,Person in Crisis,136
19530,Suicide-related,163
19531,Person in Crisis,113
19532,Overdose,122
19533,Suicide-related,149
19534,Person in Crisis,27
19535,Suicide-related,83
19536,Person in Crisis,159
19537,Person in Crisis,80
19538,Person in Crisis,81
19539,Person in Crisis,25
19540,Person in Crisis,162
19541,Suicide-related,35
19542,Person in Crisis,74
19543,Overdose,155
19544,Person in Crisis,141
19545,Suicide-related,27
19546,Person in Crisis,141
19547,Person in Crisis,136
19548,Suicide-related,8
19549,Suicide-related,111
19550,Suicide-related,139
19551,Person in Crisis,57
19552,Person in Crisis,78
19553,Person in Crisis,163
19554,Person in Crisis,99
19555,Person in Crisis,78
19556,Suicide-related,119
19557,Person in Crisis,170
19558,Person in Crisis,159
19559,Person in Crisis,73
19560,Suicide-related,169
19561,Person in Crisis,71
19562,Person in Crisis,59
19563,Person in Crisis,68
19564,Suicide-related,78
19565,Person in Crisis,162
19566,Person in Crisis,135
19567,Person in Crisis,166
19568,Person in Crisis,94
19569,Suicide-related,68
19570,Person in Crisis,92
19571,Overdose,170
19572,Person in Crisis,85
19573,Person in Crisis,32
19574,Suicide-related,154
19575,Person in Crisis,95
19576,Person in Crisis,57
19577,Person in Crisis,124
19578,Person in Crisis,81
19579,Person in Crisis,84
19580,Suicide-related,164
19581,Suicide-related,48
19582,Suicide-related,136
19583,Suicide-related,141
19584,Person in Crisis,115
19585,Overdose,141
19586,Person in Crisis,57
19587,Person in Crisis,70
19588,Person in Crisis,107
19589,Person in Crisis,6
19590,Suicide-related,167
19591,Suicide-related,65
19592,Overdose,171
19593,Suicide-related,122
19594,Suicide-related,162
19595,Person in Crisis,71
19596,Person in Crisis,85
19597,Person in Crisis,71
19598,Overdose,59
19599,Person in Crisis,81
19600,Suicide-related,87
19601,Suicide-related,90
19602,Person in Crisis,57
19603,Person in Crisis,83
19604,Person in Crisis,108
19605,Suicide-related,85
19606,Suicide-related,138
19607,Suicide-related,156
19608,Person in Crisis,68
19609,Suicide-related,11
19610,Suicide-related,118
19611,Person in Crisis,85
19612,Person in Crisis,148
19613,Person in Crisis,27
19614,Person in Crisis,162
19615,Person in Crisis,85
19616,Suicide-related,78
19617,Person in Crisis,33
19618,Person in Crisis,1
19619,Person in Crisis,174
19620,Suicide-related,63
19621,Suicide-related,74
19622,Person in Crisis,1
19623,Suicide-related,90
19624,Person in Crisis,168
19625,Suicide-related,129
19626,Overdose,18
19627,Person in Crisis,78
19628,Person in Crisis,85
19629,Person in Crisis,73
19630,Person in Crisis,155
19631,Person in Crisis,78
19632,Person in Crisis,162
19633,Person in Crisis,61
19634,Person in Crisis,36
19635,Person in Crisis,92
19636,Person in Crisis,119
19637,Person in Crisis,89
19638,Suicide-related,59
19639,Person in Crisis,171
19640,Person in Crisis,167
19641,Suicide-related,85
19642,Person in Crisis,54
19643,Suicide-related,80
19644,Person in Crisis,126
19645,Person in Crisis,27
19646,Person in Crisis,133
19647,Suicide-related,85
19648,Suicide-related,54
19649,Person in Crisis,78
19650,Person in Crisis,25
19651,Suicide-related,100
19652,Suicide-related,174
19653,Suicide-related,174
19654,Person in Crisis,78
19655,Person in Crisis,81
19656,Suicide-related,124
19657,Suicide-related,143
19658,Person in Crisis,85
19659,Overdose,49
19660,Suicide-related,27
19661,Person in Crisis,65
19662,Person in Crisis,42
19663,Person in Crisis,118
19664,Person in Crisis,85
19665,Suicide-related,167
19666,Person in Crisis,139
19667,Suicide-related,53
19668,Person in Crisis,64
19669,Suicide-related,57
19670,Suicide-related,97
19671,Person in Crisis,174
19672,Overdose,158
19673,Suicide-related,168
19674,Suicide-related,27
19675,Person in Crisis,73
19676,Person in Crisis,71
19677,Overdose,54
19678,Suicide-related,57
19679,Person in Crisis,124
19680,Person in Crisis,41
19681,Person in Crisis,170
19682,Person in Crisis,92
19683,Person in Crisis,168
19684,Person in Crisis,73
19685,Person in Crisis,135
19686,Person in Crisis,81
19687,Person in Crisis,54
19688,Overdose,63
19689,Suicide-related,80
19690,Person in Crisis,143
19691,Suicide-related,70
19692,Person in Crisis,48
19693,Suicide-related,174
19694,Person in Crisis,159
19695,Person in Crisis,122
19696,Suicide-related,96
19697,Person in Crisis,123
19698,Suicide-related,73
19699,Person in Crisis,25
19700,Person in Crisis,78
19701,Suicide-related,78
19702,Suicide-related,111
19703,Suicide-related,149
19704,Suicide-related,47
19705,Person in Crisis,32
19706,Suicide-related,80
19707,Person in Crisis,118
19708,Overdose,167
19709,Suicide-related,63
19710,Person in Crisis,33
19711,Suicide-related,85
19712,Person in Crisis,142
19713,Suicide-related,63
19714,Person in Crisis,162
19715,Person in Crisis,115
19716,Person in Crisis,73
19717,Person in Crisis,129
19719,Person in Crisis,97
19720,Overdose,167
19721,Person in Crisis,157
19722,Suicide-related,53
